submission_date,state,tot_cases,new_case,tot_death,created_at
2021-09-12T00:00:00.000,AZ,1048600,2765.0,19187,2021-09-13T14:26:59.193
2021-04-05T00:00:00.000,AZ,845535,608.0,16990,2021-04-06T13:43:58.552
2021-05-21T00:00:00.000,AZ,875766,571.0,17531,2021-05-22T18:59:37.438
2021-06-30T00:00:00.000,AZ,894875,769.0,17936,2021-07-01T14:29:33.934
2021-03-07T00:00:00.000,AZ,827079,1335.0,16328,2021-03-08T14:47:36.155
2020-07-31T00:00:00.000,AZ,174062,3213.0,3694,2020-08-01T14:38:12.337
2020-08-17T00:00:00.000,AZ,194074,469.0,4506,2020-08-18T14:26:55.280
2021-06-06T00:00:00.000,AZ,883821,507.0,17700,2021-06-07T14:36:26.127
2021-09-22T00:00:00.000,AZ,1072863,2106.0,19658,2021-09-23T14:07:24.199
2021-05-31T00:00:00.000,AZ,881450,361.0,17628,2021-06-01T15:18:33.855
2021-09-29T00:00:00.000,AZ,1090839,3388.0,19959,2021-09-30T14:57:48.020
2020-03-01T00:00:00.000,AZ,1,0.0,0,2020-03-26T16:22:39.452
2021-08-07T00:00:00.000,AZ,943415,2653.0,18376,2021-08-09T12:38:43.318
2020-09-11T00:00:00.000,AZ,207617,522.0,5288,2020-09-12T14:12:43.160
2021-08-19T00:00:00.000,AZ,976471,3546.0,18508,2021-08-20T13:21:34.552
2020-09-07T00:00:00.000,AZ,206054,199.0,5219,2020-09-08T14:47:00.875
2020-02-22T00:00:00.000,AZ,1,0.0,0,2020-03-26T16:22:39.452
2020-02-23T00:00:00.000,AZ,1,0.0,0,2020-03-26T16:22:39.452
2020-03-15T00:00:00.000,AZ,13,1.0,0,2020-03-26T16:22:39.452
2020-02-03T00:00:00.000,AZ,1,0.0,0,2020-03-26T16:22:39.452
2021-06-17T00:00:00.000,AZ,888337,332.0,17809,2021-06-18T13:48:26.536
2020-07-28T00:00:00.000,AZ,165983,2108.0,3408,2020-07-29T14:34:46.946
2020-05-21T00:00:00.000,AZ,15315,418.0,763,2020-05-22T15:31:45.000
2021-09-10T00:00:00.000,AZ,1042480,2988.0,19147,2021-09-11T13:20:03.309
2020-01-30T00:00:00.000,AZ,1,0.0,0,2020-03-26T16:22:39.452
2021-08-11T00:00:00.000,AZ,952797,1970.0,18406,2021-08-12T15:05:21.716
2021-03-17T00:00:00.000,AZ,834948,445.0,16586,2021-03-18T14:01:55.607
2020-09-28T00:00:00.000,AZ,217621,274.0,5624,2020-09-29T13:50:42.951
2021-08-16T00:00:00.000,AZ,967862,2400.0,18464,2021-08-17T14:24:04.262
2020-07-16T00:00:00.000,AZ,134650,3260.0,2492,2020-07-17T14:31:01.339
2021-02-09T00:00:00.000,AZ,787740,4384.0,14286,2021-02-10T14:52:16.601
2020-01-24T00:00:00.000,AZ,0,0.0,0,2020-03-26T16:22:39.452
2020-08-07T00:00:00.000,AZ,185112,1407.0,4081,2020-08-08T14:58:44.922
2021-08-15T00:00:00.000,AZ,965462,3052.0,18464,2021-08-16T15:23:49.353
2020-10-29T00:00:00.000,AZ,242622,1316.0,5918,2020-10-30T13:37:23.555
2021-08-09T00:00:00.000,AZ,948245,2191.0,18388,2021-08-10T15:30:38.175
2021-06-12T00:00:00.000,AZ,886404,570.0,17761,2021-06-13T13:40:53.785
2020-06-01T00:00:00.000,AZ,20123,187.0,917,2020-06-02T14:16:17.049
2020-12-18T00:00:00.000,AZ,442984,7638.0,7819,2020-12-19T14:42:31.925
2021-09-18T00:00:00.000,AZ,1064346,2742.0,19487,2021-09-20T12:14:02.133
2021-03-15T00:00:00.000,AZ,834006,638.0,16553,2021-03-16T14:12:32.574
2021-09-23T00:00:00.000,AZ,1075876,3013.0,19727,2021-09-24T13:56:18.107
2020-09-16T00:00:00.000,AZ,210006,699.0,5371,2020-09-17T13:45:45.666
2021-06-07T00:00:00.000,AZ,884195,374.0,17700,2021-06-08T15:05:30.028
2020-09-13T00:00:00.000,AZ,208608,385.0,5322,2020-09-14T14:01:21.851
2020-04-28T00:00:00.000,AZ,6948,232.0,293,2020-04-29T18:12:08.477
2020-04-15T00:00:00.000,AZ,3962,156.0,142,2020-04-15T16:22:39.452
2020-09-24T00:00:00.000,AZ,215959,569.0,5559,2020-09-25T13:54:10.196
2020-05-28T00:00:00.000,AZ,17763,501.0,857,2020-05-29T14:19:55.781
2021-07-21T00:00:00.000,AZ,911479,1043.0,18127,2021-07-22T15:06:50.836
2020-04-01T00:00:00.000,AZ,1413,124.0,29,2020-03-31T16:22:39.452
2021-07-18T00:00:00.000,AZ,908248,980.0,18117,2021-07-19T14:21:19.093
2021-06-03T00:00:00.000,AZ,882691,322.0,17653,2021-06-04T14:56:57.843
2020-12-12T00:00:00.000,AZ,402884,8080.0,7322,2020-12-13T14:31:19.849
2021-05-25T00:00:00.000,AZ,877682,500.0,17569,2021-05-26T13:48:32.554
2021-05-07T00:00:00.000,AZ,867443,820.0,17391,2021-05-08T13:45:22.120
2020-07-05T00:00:00.000,AZ,98115,3537.0,1809,2020-07-06T15:16:12.497
2021-09-04T00:00:00.000,AZ,1027359,3424.0,18997,2021-09-06T13:20:57.768
2021-03-30T00:00:00.000,AZ,841703,586.0,16941,2021-03-31T14:08:03.160
2020-06-19T00:00:00.000,AZ,46699,3247.0,1312,2020-06-20T14:15:45.452
2020-10-12T00:00:00.000,AZ,226175,476.0,5759,2020-10-13T13:29:38.712
2020-11-13T00:00:00.000,AZ,269785,3018.0,6257,2020-11-14T14:44:40.037
2020-09-26T00:00:00.000,AZ,216935,460.0,5622,2020-09-27T13:39:49.124
2020-01-31T00:00:00.000,AZ,1,0.0,0,2020-03-26T16:22:39.452
2021-02-26T00:00:00.000,AZ,815153,1621.0,15897,2021-02-27T14:51:23.719
2020-03-03T00:00:00.000,AZ,2,1.0,0,2020-03-26T16:22:39.452
2020-11-25T00:00:00.000,AZ,311094,3985.0,6524,2020-11-26T14:44:21.114
2020-05-04T00:00:00.000,AZ,8919,279.0,362,2020-05-05T17:25:08.000
2020-12-13T00:00:00.000,AZ,408740,5856.0,7357,2020-12-14T14:36:45.302
2021-04-13T00:00:00.000,AZ,850846,610.0,17105,2021-04-14T14:34:57.978
2021-01-17T00:00:00.000,AZ,674285,6984.0,11266,2021-01-18T14:39:32.141
2021-09-01T00:00:00.000,AZ,1016663,4740.0,18853,2021-09-02T13:49:05.431
